,date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,trade_entry,exit_signal,next_day_open,entry_price,exit_price,win
110,2006-12-14,9962,2093,58911,11.5,11.7,11.25,11.39,0.02,598,True,False,11.52,11.5,,
113,2006-12-19,9962,903,25004,11.37,11.43,11.13,11.39,-0.02,341,False,True,11.21,,11.155,
574,2008-10-31,9962,236000,1307150,2.22,2.46,2.22,2.41,0.03,89,True,False,2.41,2.22,,
575,2008-11-03,9962,154000,884660,2.41,2.58,2.41,2.58,0.17,51,False,True,2.64,,2.3310000000000004,1.0
605,2008-12-15,9962,240000,1498950,2.69,2.69,2.63,2.69,0.17,75,True,False,2.65,2.69,,
607,2008-12-17,9962,165000,1027870,2.59,2.82,2.59,2.64,0.0,64,False,True,2.64,,2.6092999999999997,
1307,2011-10-07,9962,175000,2349100,7.31,7.36,7.23,7.31,0.06,60,True,False,7.36,7.31,,
1311,2011-10-14,9962,183000,2429950,7.2,7.28,7.09,7.25,-0.06,65,False,True,7.25,,7.090699999999999,
1473,2012-06-11,9962,112000,1152950,5.5,5.68,5.5,5.6,0.1,45,True,False,5.63,5.5,,
1480,2012-06-20,9962,126000,1386000,5.96,5.96,5.96,5.96,0.38,35,False,True,6.36,,5.775,1.0
1573,2012-10-31,9962,92000,1004600,6.18,6.5,6.18,6.5,-0.09,55,True,False,6.41,6.18,,
1582,2012-11-13,9962,121000,1331050,6.56,6.56,6.41,6.41,0.0,44,False,True,6.44,,6.489,1.0
2422,2016-04-25,9962,3394000,36037050,7.37,7.72,6.96,7.16,-0.04,1387,True,False,7.23,7.37,,
2423,2016-04-26,9962,613000,6311000,7.23,7.3,6.92,6.99,-0.17,286,False,True,6.99,,7.1489,
2903,2018-04-11,9962,239000,2671850,8.16,8.3,8.05,8.16,-0.18,92,True,False,8.23,8.16,,
2907,2018-04-17,9962,130000,1434850,8.08,8.08,7.9,8.01,-0.07,43,False,True,8.05,,7.9152,
2959,2018-07-02,9962,3145000,40486000,9.69,9.72,8.99,9.03,-0.51,1065,True,False,9.1,9.69,,
2960,2018-07-03,9962,889000,11176200,9.1,9.39,8.96,8.99,-0.04,362,False,True,9.14,,9.399299999999998,
3335,2020-01-10,9962,18000,176950,8.19,8.19,8.15,8.17,0.0,11,True,False,8.19,8.19,,
3344,2020-02-03,9962,53000,503760,8.0,8.0,7.77,7.96,-0.13,16,False,True,8.14,,7.944299999999999,
3688,2021-07-02,9962,7894000,136108000,14.99,15.59,13.93,14.53,-0.46,3813,True,False,14.95,14.99,,
3689,2021-07-05,9962,2228000,37015650,14.95,14.95,13.59,13.76,-0.77,1149,True,True,14.53,,14.5403,
3695,2021-07-13,9962,4740000,87933250,17.42,17.42,15.25,15.25,-1.66,2384,True,False,15.55,17.42,,
3696,2021-07-14,9962,2167000,37559550,15.55,15.55,13.76,14.83,-0.42,981,False,True,15.08,,16.8974,
3701,2021-07-21,9962,9638000,246601550,21.75,21.75,21.37,21.75,1.95,1896,True,False,21.75,21.75,,
3702,2021-07-22,9962,29312000,716170850,21.75,22.09,19.58,19.8,-1.95,12760,False,True,20.39,,21.0975,
3867,2022-03-28,9962,4155000,89611800,18.27,18.61,18.1,18.61,-0.04,1739,True,False,18.35,18.27,,
3869,2022-03-30,9962,3206000,66784650,18.01,18.1,17.37,17.54,-0.39,1501,False,True,17.93,,17.721899999999998,
